BCU_Code|BCU_Name|Major_Crime_Category|Minor_Crime_Category|Number_of_Records|Borough|Sum_Value|Type|Month|Year
CE|Central East Command Unit|Theft|Bicycle Theft|1|Hackney|143|Offences|4|2010
CE|Central East Command Unit|Theft|Bicycle Theft|1|Tower Hamlets|142|Offences|4|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|61|Offences|6|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|42|Offences|6|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Camden|148|Offences|4|2010
CN|Central North Command Unit|Theft|Bicycle Theft|1|Islington|148|Offences|4|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Lambeth|90|Offences|4|2010
AS|Central South Command Unit|Theft|Bicycle Theft|1|Southwark|124|Offences|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Kensington and Chelsea|66|Offences|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|City of Westminster|189|Offences|4|2010
AW|Central West Command Unit|Theft|Bicycle Theft|1|Hammersmith and Fulham|105|Offences|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|15|Offences|6|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|49|Offences|6|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|41|Offences|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|26|Offences|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|37|Offences|6|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|21|Offences|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Lewisham|60|Offences|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Greenwich|52|Offences|6|2010
SE|South East Command Unit|Theft|Bicycle Theft|1|Bexley|21|Offences|6|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Redbridge|14|Offences|4|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Havering|9|Offences|4|2010
EA|East Area Command Unit|Theft|Bicycle Theft|1|Barking and Dagenham|13|Offences|4|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Enfield|27|Offences|4|2010
NA|North Area Command Unit|Theft|Bicycle Theft|1|Haringey|36|Offences|4|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Waltham Forest|38|Offences|4|2010
NE|North East Command Unit|Theft|Bicycle Theft|1|Newham|38|Offences|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Harrow|16|Offences|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Brent|44|Offences|4|2010
NW|North West Command Unit|Theft|Bicycle Theft|1|Barnet|18|Offences|4|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Bromley|18|Offences|4|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Croydon|34|Offences|4|2010
SN|South Area Command Unit|Theft|Bicycle Theft|1|Sutton|20|Offences|4|2010
